Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0,-23.72213936,3.661651611,-34.64348221,42.14639306
0.01003,-23.52522469,3.630142212,-34.88047409,42.22868222
0.02006,-23.36679268,3.667633057,-34.95970917,42.20947521
0.030091,-22.86691666,3.89100647,-35.38243866,42.30783349
0.040121,-22.40496063,4.051643372,-35.67519379,42.32159646
0.050151,-22.07946396,4.427322388,-35.69220734,42.20234089
0.060181,-21.40052605,4.508659363,-35.88327789,42.02285279
0.070211,-21.09925842,4.83757782,-35.92864227,41.94577691
0.080241,-20.75115967,5.082756042,-36.47615433,42.27238899
0.090272,-20.13430977,5.099601746,-36.7337265,42.19908803
0.100302,-19.73199081,5.362037659,-36.98153687,42.25798124
0.110332,-19.44490433,5.572669983,-36.93231964,42.1088493
0.120362,-19.20155334,5.852210999,-37.06812286,42.15440377
0.130392,-18.84777832,5.920211792,-37.19062042,42.11211112
0.140422,-18.59440804,6.046806335,-37.41153717,42.21301921
0.150453,-18.31006813,6.116348267,-37.4911232,42.16933281
0.160483,-18.01334381,6.406967163,-37.69984818,42.27065573
0.170513,-17.85212135,6.608924866,-37.78285217,42.30744666
0.180543,-17.7121067,6.66632843,-37.64095688,42.13075235
0.190573,-17.58937263,6.727920532,-37.82274628,42.25175831
0.200603,-17.37286568,6.70980835,-37.8385849,42.17340984
0.210634,-17.37807274,6.77306366,-37.75070953,42.10686255
0.220664,-17.29086304,6.709732056,-38.06393051,42.34214514
0.230694,-17.21391678,6.849884033,-38.10678101,42.37176655
0.240724,-17.09605598,6.962310791,-38.25763321,42.47817558
0.250754,-17.02847481,7.135032654,-37.59989166,41.88829787
0.260784,-16.98136139,7.050796509,-37.91958618,42.14232293
0.270815,-16.94446182,7.060455322,-38.12554169,42.31455713
0.280845,-16.94078064,7.075500488,-38.12724304,42.31712913
0.290875,-16.85855293,7.045570374,-38.19401932,42.33950851
0.300905,-16.93136215,7.081871033,-37.87488937,42.0871853
0.310935,-17.17357063,7.272346497,-37.58705139,41.95956368
0.320965,-17.19919014,7.082214355,-38.07159424,42.37235171
0.330995,-17.0613327,7.038047791,-37.97843933,42.22540757
0.341026,-17.17133904,7.208465576,-37.77435684,42.1155422
0.351056,-17.09186172,7.232444763,-37.89706421,42.1974818
0.361086,-17.06231117,7.204025269,-38.04125595,42.31025404
0.371116,-17.01650238,7.273513794,-38.14039993,42.39287043
0.381146,-17.04975891,7.316253662,-38.16040802,42.43157535
